,State,Agency Type,Agency Name,Population ,Assault Offenses,Aggravated Assault,Simple Assault,Intimidation,Homicide Offenses,Murder and Nonnegligent Manslaughter,Negligent Manslaughter,Justifiable Homicide,Kidnapping/ Abduction,Sex Offenses,Rape,Sodomy,Sexual Assault With An Object,Fondling,Sex Offenses  Nonforcible,Incest,Statutory Rape,Arson,Bribery,Burglary/ Breaking & Entering,Counter- feiting/ Forgery,Destruction/ Damage/ Vandalism,Embezzle- ment,Extortion/ Blackmail,Fraud Offenses,False Pretenses/ Swindle/ Confidence Game,Credit Card/ Automated Teller Machine Fraud,Imperson- ation,Welfare Fraud,Wire Fraud,Larceny- Theft Offenses,Pocket- picking,Purse- snatching,Shop- lifting,Theft From Building,Theft From Coin- operated Machine,Theft From Motor Vehicle,Theft of Motor Vehicle Parts or Accessories,All Other Larceny,Motor Vehicle Theft,Robbery,Stolen Property Offenses ,Drug/ Narcotic Offenses,Drug/ Narcotic Violations,Drug Equipment Violations,Gambling Offenses,Betting/ Wagering,Operating/ Promoting/ Assisting Gambling,Gambling Equipment Violations,Sports Tampering,Porno- graphy/ Obscene Material,Prost- itution Offenses,Prost- itution,Assisting or Pro- moting Prost- itution,Weapon Law Violations
0,ALABAMA,Cities,Hoover,82332,870.0,25.0,594.0,251.0,2.0,2.0,0.0,0.0,2.0,25.0,13.0,3.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,391.0,55.0,280.0,70.0,0.0,202.0,38.0,109.0,55.0,0.0,0.0,1718.0,10.0,2.0,550.0,410.0,4.0,418.0,127.0,197.0,88.0,46.0,29.0,495.0,339.0,156.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,26.0
1,ARIZONA,Cities,Apache Junction,36986,559.0,96.0,381.0,82.0,1.0,1.0,0.0,0.0,14.0,35.0,13.0,0.0,0.0,22.0,2.0,0.0,2.0,1.0,0.0,237.0,58.0,447.0,0.0,1.0,162.0,52.0,62.0,48.0,0.0,0.0,725.0,0.0,0.0,193.0,12.0,1.0,52.0,52.0,415.0,68.0,21.0,28.0,308.0,152.0,156.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,25.0
2,ARIZONA,Cities,Gilbert,214264,1242.0,123.0,892.0,227.0,5.0,5.0,0.0,0.0,54.0,79.0,19.0,2.0,0.0,58.0,16.0,0.0,16.0,25.0,2.0,728.0,163.0,2303.0,20.0,4.0,486.0,130.0,150.0,206.0,0.0,0.0,2549.0,1.0,9.0,632.0,96.0,3.0,720.0,35.0,1053.0,171.0,59.0,100.0,2069.0,979.0,1090.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,75.0
3,ARIZONA,Metropolitan Counties,Yuma2,214264,555.0,94.0,376.0,85.0,26.0,26.0,0.0,0.0,17.0,39.0,8.0,0.0,2.0,29.0,24.0,0.0,24.0,10.0,3.0,363.0,26.0,542.0,0.0,1.0,192.0,83.0,48.0,61.0,0.0,0.0,644.0,2.0,0.0,34.0,0.0,0.0,8.0,4.0,596.0,75.0,10.0,24.0,437.0,208.0,229.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,1.0,1.0,40.0
4,ARKANSAS,Cities,Alma,5439,197.0,11.0,108.0,78.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,99.0,15.0,97.0,0.0,0.0,13.0,1.0,10.0,2.0,0.0,0.0,265.0,0.0,2.0,59.0,39.0,0.0,39.0,0.0,126.0,7.0,1.0,9.0,66.0,44.0,22.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0
5,ARKANSAS,Cities,Arkadelphia,10698,274.0,35.0,178.0,61.0,5.0,5.0,0.0,0.0,4.0,7.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,106.0,19.0,97.0,0.0,0.0,34.0,16.0,15.0,3.0,0.0,0.0,340.0,0.0,1.0,68.0,50.0,0.0,34.0,3.0,184.0,7.0,3.0,2.0,44.0,37.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
6,ARKANSAS,Cities,Ashdown,4680,72.0,14.0,57.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,32.0,3.0,52.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,126.0,0.0,0.0,28.0,7.0,0.0,5.0,2.0,84.0,4.0,1.0,0.0,32.0,26.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
7,ARKANSAS,Cities,Atkins,3057,22.0,1.0,13.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,6.0,14.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,59.0,0.0,1.0,4.0,10.0,1.0,4.0,0.0,39.0,4.0,0.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,ARKANSAS,Cities,Austin,2076,14.0,2.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,10.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,29.0,0.0,0.0,1.0,2.0,0.0,16.0,0.0,10.0,0.0,0.0,0.0,44.0,25.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
9,ARKANSAS,Cities,Bald Knob,2950,71.0,12.0,29.0,30.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,36.0,15.0,36.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,105.0,0.0,1.0,5.0,17.0,3.0,14.0,1.0,64.0,10.0,1.0,15.0,25.0,20.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
